,Brand,Type,Material,color,From New Season,Manufacturing country,Description,Price
0,,,,,,,,
1,JW Anderson,Tote Bags,canvas,lilac,New Season,Made in Italy,"JW Anderson elevates a simple tote silhouette with subtle branding. Their signature J Anchor logo appears camouflaged against the lilac-hued woven canvas, while cream top handles add contrast to the piece.",$662
2,,,,,,,,
3,,,,,,,,
4,JW Anderson,Tote Bags,canvas,lilac,New Season,Made in Italy,"JW Anderson elevates a simple tote silhouette with subtle branding. Their signature J Anchor logo appears camouflaged against the lilac-hued woven canvas, while cream top handles add contrast to the piece.",$662
5,Balenciaga,Messenger & Crossbody Bags,calf leather,silver-tone,Conscious,Made in Italy,Balenciaga's Gossip wallet-on-chain is crafted from crocodile-embossed calf leather and adorned with the signature BB logo plaque in silver-tone hardware. The piece features a detachable chain-link shoulder strap for versatility. ,$840
6,Acne Studios,Tote Bags,denim,light blue,New Season,Made in Italy,,"$1,229"
7,Vivienne Westwood,Messenger & Crossbody Bags,faux leather,blue/multicolour,New Season,,,$492
8,Stella McCartney,Shoulder Bags,chain-link trim,grape purple,Conscious,Made in Italy,,$854
9,Off-White,Tote Bags,calf leather,white,,Made in Italy,"The Diag-print is one of Off-White's most celebrated motifs, appearing throughout the brand's collections. Here it adorns this leather tote bag, complemented by a signature Binder Clip fastening for a familiar finish.",$983
10,Jacquemus,Tote Bags,calf leather,purple,New Season,,,$788
11,Versace,Shoulder Bags,calf leather,navy blue,,Made in Italy,"Versace's iconic Medusa motif is a signature house emblem that is showcased each season. For AW22, the gold-tone logo is found on the front of this navy blue shoulder bag for an instantly recognisable finish.","$1,766"
12,Jimmy Choo,Messenger & Crossbody Bags,leather,off-white,,Made in Italy,,$554
13,Amina Muaddi,Tote Bags,calf leather,iridescent,New Season,Made in Italy,"Amina Muaddi's AW21 collection reflects the brand's flamboyant and joyful approach to accessories, with bold prints and eye-catching details. Crafted from calf leather with an iridescent effect, this Gilda tote bag presents a structured body finished with crystal-embellished round top handles.",$998
14,Valentino Garavani,Shoulder Bags,leather,light beige,,Made in Italy,"The Rockstud is an iconic Valentino Garavani motif, inspired by Roman architectural designs and seen throughout their collections. It appears in the 'maxi' size on this Stud Sign shoulder bag, complementing the gold-tone VLogo Signature.","$2,798"
15,Jacquemus,Tote Bags,lambskin,brown,New Season,Made in Italy,,"$1,067"
16,,,,,,,,
17,Jil Sander,Tote Bags,shearling,orange,New Season,Made in Italy,"Retaining a sculptural style, this bag from Jil Sander is characterised by a shearling construction. The curved silhouette features a silver-tone ball handle.","$1,187"
18,Marni,Tote Bags,lambskin,light pink,New Season,Made in Italy,,"$2,693"
19,Balmain,Mini Bags,gold-tone,white,New Season,Made in Italy,,$837
20,,,,,,,,
21,JW Anderson,Shoulder Bags,lambskin/calfskin,white/orange,New Season,,,$760
22,JW Anderson,Shoulder Bags,lambskin/calfskin,blue/lilac,New Season,,,$662
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,Alexander McQueen,Mini Bags,leather,white,,Made in Italy,Alexander McQueen is a British brand heralded for its interesting and provocative aesthetic. The Curve bag is inspired by the austere harness silhouette but is softened with the design's curved shape and smooth texture. The piece is finished with a silver-tone logo debossing to the front and the brand's stamped Seal Signature to the rear.,"$1,427"
27,Balenciaga,Bucket Bags,denim,blue,New Season,Made in Italy,"First appearing in Balenciaga's pre-Fall 2021 show, Balenciaga presents its popular 'Le Cagole' bag in an XS size and denim finish for SS23. This compact accessory features elements from the brand's iconic Neo Classic silhouette, including decorative buckles, flat studs and a whipstitch-detailed adjustable strap.","$2,000"
28,,,,,,,,
29,Versace,Tote Bags,calf leather,light blue,New Season,Made in Italy,Versace's La Medusa tote spotlights the brand's Medusa Head motif - an emblem that debuted on the door of the house's first-ever Milan headquarters.,"$2,055"
30,JW Anderson,Tote Bags,,,Exclusive,,,$528
31,Alexander McQueen,Clutch Bags,calf leather,emerald green,New Season,Made in Italy,,"$3,590"
32,JW Anderson,Shoulder Bags,cotton/lambskin/calfskin,natural brown,New Season,,,$779
33,,,,,,,,
34,Balmain,Shoulder Bags,fabric/calf leather ,black/beige ,,Made in Italy,"In the need for a mood lift? Black and beige and lavishly luxe, this Balmain medium 1945 Heritage monogram jacquard shoulder bag is just what the doctor ordered.","$5,082"
35,The Attico,Clutch Bags,calf leather,white/black,New Season,Made in Italy,"The Attico pairs solid colourways with bold structures, in line with their futuristic approach to design. An iconic signature of the brand, this 8.30pm clutch arrives in a black and white zebra-print hue, whilst it is defined by its asymmetric silhouette.",$855
36,,,,,,,,
37,,,,,,,,
38,Jacquemus,Tote Bags,lambskin,khaki,New Season,Made in Italy,"Jacquemus' Le Bambimou bag is a fine demonstration of the label's propensity for structured designs. Presented in a khaki hue, this leather shoulder bag is punctuated with silver-tone logo lettering for a branded finish.","$1,058"
39,Valentino Garavani,Shoulder Bags,lambskin,Pink PP,,Made in Italy,"Defined by the signature maxi Roman Stud that punctuate its lambskin construction, Valentino Garavani's Roman Stud shoulder bag is seen here updated in a fuchsia pink hue with shimmering crystals for an opulent update.","$5,215"
40,Gucci,Shoulder Bags,leather,white,New Season,Made in Italy,,"$2,045"
41,Diesel,Shoulder Bags,calf leather,pink,New Season,,"Diesel's maximalist aesthetic is channelled through this shoulder bag. Imagined in bright pink, this bold design is adorned with a logo plaque to the front for a bold feel.",$459
42,,,,,,,,
43,JW Anderson,Tote Bags,multicolour,pink,Exclusive,,"Named after its woven construction, the Knot bag showcases JW Anderson's innovative design techniques in crafting contemporary accessories. The signature style takes a new form for AW22, as depicted by this iteration. An array of vivid hues embody the construction, which pops against the pink upper.",$758
