Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
JW Anderson,Tote Bags,canvas,lilac,New Season,Made in Italy,1,662
Balenciaga,Messenger & Crossbody Bags,calf leather,silver-tone,Conscious,Made in Italy,1,840
Acne Studios,Tote Bags,denim,light blue,New Season,Made in Italy,0,1229
Vivienne Westwood,Messenger & Crossbody Bags,faux leather,blue/multicolour,New Season,,0,492
Stella McCartney,Shoulder Bags,chain-link trim,grape purple,Conscious,Made in Italy,0,854
Off-White,Tote Bags,calf leather,white,,Made in Italy,1,983
Jacquemus,Tote Bags,calf leather,purple,New Season,,0,788
Versace,Shoulder Bags,calf leather,navy blue,,Made in Italy,1,1766
Jimmy Choo,Messenger & Crossbody Bags,leather,off-white,,Made in Italy,0,554
Amina Muaddi,Tote Bags,calf leather,iridescent,New Season,Made in Italy,1,998
Valentino Garavani,Shoulder Bags,leather,light beige,,Made in Italy,1,2798
Jacquemus,Tote Bags,lambskin,brown,New Season,Made in Italy,0,1067
Jil Sander,Tote Bags,shearling,orange,New Season,Made in Italy,1,1187
Marni,Tote Bags,lambskin,light pink,New Season,Made in Italy,0,2693
Balmain,Mini Bags,gold-tone,white,New Season,Made in Italy,0,837
JW Anderson,Shoulder Bags,lambskin/calfskin,white/orange,New Season,,0,760
JW Anderson,Shoulder Bags,lambskin/calfskin,blue/lilac,New Season,,0,662
Alexander McQueen,Mini Bags,leather,white,,Made in Italy,1,1427
Balenciaga,Bucket Bags,denim,blue,New Season,Made in Italy,1,2000
Versace,Tote Bags,calf leather,light blue,New Season,Made in Italy,1,2055
JW Anderson,Tote Bags,,,Exclusive,,0,528
Alexander McQueen,Clutch Bags,calf leather,emerald green,New Season,Made in Italy,0,3590
JW Anderson,Shoulder Bags,cotton/lambskin/calfskin,natural brown,New Season,,0,779
Balmain,Shoulder Bags,fabric/calf leather ,black/beige ,,Made in Italy,1,5082
The Attico,Clutch Bags,calf leather,white/black,New Season,Made in Italy,1,855
Jacquemus,Tote Bags,lambskin,khaki,New Season,Made in Italy,1,1058
Valentino Garavani,Shoulder Bags,lambskin,Pink PP,,Made in Italy,1,5215
Gucci,Shoulder Bags,leather,white,New Season,Made in Italy,0,2045
Diesel,Shoulder Bags,calf leather,pink,New Season,,1,459
JW Anderson,Tote Bags,multicolour,pink,Exclusive,,1,758
Gucci,Shoulder Bags,cotton/leather,orange,,Made in Italy,1,2760
Jimmy Choo,Bucket Bags,crystal embellishment,silver-tone/ruby red,New Season,Made in Italy,0,4850
Stella McCartney,Shoulder Bags,chain-link detailing,light blue,Conscious,Made in Italy,0,854
Jacquemus,Shoulder Bags,shearling,light blue,,,1,1547
Off-White,Tote Bags,leather,black/white,Exclusive,Made in Italy,1,983
JW Anderson,Shoulder Bags,leather,blue/red,,,1,816
Gucci,Shoulder Bags,,,,,0,2155
Jacquemus,Shoulder Bags,leather,white,,,1,680
Patou,Shoulder Bags,calf leather,orange,New Season,,1,653
Versace,Shoulder Bags,calf leather,black,New Season,Made in Italy,1,1739
The Attico,Tote Bags,,,,Made in Italy,1,1307
Balenciaga,Mini Bags,,,Conscious,Made in Italy,1,4300
Balenciaga,Tote Bags,leather,pink,Conscious,Made in Italy,1,1785
Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,baby pink,,Made in Italy,1,2489
Versace,Messenger & Crossbody Bags,calf leather,lilac purple,New Season,Made in Italy,1,2338
Alexander McQueen,Tote Bags,calf leather,black,New Season,Made in Italy,0,2323
Valentino Garavani,Shoulder Bags,all-over embroidery,electric purple,,Made in Italy,1,3943
Jacquemus,Tote Bags,calf leather,black,,,1,681
Goldbergh,Belt Bags,,,New Season,,0,219
Stella McCartney,Tote Bags,faux-leather,grey,Conscious,Made in Italy,1,953
Alexander Wang,Mini Bags,crystal embellishments,black,,,1,721
Jacquemus,Tote Bags,brown,calf suede,,,1,821
Jacquemus,Tote Bags,,,,,1,636
Stella McCartney,Shoulder Bags,,,Conscious,Made in Italy,0,685
Stella McCartney,Messenger & Crossbody Bags,,,Conscious,,0,615
Jacquemus,Tote Bags,leather,bright-white,,Made in Italy,1,825
Dolce & Gabbana,Shoulder Bags,,,,,0,1493
Stella McCartney,Tote Bags,faux-leather,black,Conscious,Made in Italy,1,773
Marc Jacobs,Shoulder Bags,gold-tone logo plaque,pink,New Season,,1,390
Dolce & Gabbana,Shoulder Bags,,,,Made in Italy,0,1825
Versace,Tote Bags,,,,Made in Italy,0,1095
Vanina,Tote Bags,faux-pearl embellishment,white,New Season,,0,397
Stella McCartney,Messenger & Crossbody Bags,,,Conscious,Made in Italy,0,474
Vivienne Westwood,Mini Bags,tartan check pattern,blue/multicolour,New Season,Made in Italy,0,403
KHAITE,Tote Bags,calf leather,black,New Season,Made in Italy,0,2373
Jacquemus,Tote Bags,leather,white,,Made in Italy,1,752
FPM Milano,Luggage,,,,Made in Italy,1,1027
Vanina,Shoulder Bags,sequin embellishment,pink,New Season,,0,410
See by Chloé,Messenger & Crossbody Bags,,,,,1,320
Vivienne Westwood,Bucket Bags,calf leather,multicolour,New Season,Made in Italy,0,451
